ID,time,MRGSIM,NONMEM,diff
13,39,3745.5,3745.5,0
13,40,3745.5,3745.5,0
13,41,3745.5,3745.5,0
13,42,3745.5,3745.5,0
13,43,3745.5,3745.5,0
13,44,3745.5,3745.5,0
13,45,3745.5,3745.5,0
13,46,3745.5,3745.5,0
13,47,3745.5,3745.5,0
13,48,3745.5,3745.5,0
13,49,3745.5,3745.5,0
13,50,3745.5,3745.5,0
13,51,3745.5,3745.5,0
13,52,3745.5,3745.5,0
13,53,3745.5,3745.5,0
13,54,3745.5,3745.5,0
13,55,3745.5,3745.5,0
13,56,3745.5,3745.5,0
13,57,3745.5,3745.5,0
13,58,3745.5,3745.5,0
13,59,3745.5,3745.5,0
13,60,3745.5,3745.5,0
13,61,3745.5,3745.5,0
13,62,3745.5,3745.5,0
13,63,3745.5,3745.5,0
13,64,3745.5,3745.5,0
13,65,3745.5,3745.5,0
13,66,3745.5,3745.5,0
13,67,3745.5,3745.5,0
13,68,3745.5,3745.5,0
13,69,3745.5,3745.5,0
13,70,3745.5,3745.5,0
13,71,3745.5,3745.5,0
13,72,3745.5,3745.5,0
13,73,3745.5,3745.5,0
13,74,3745.5,3745.5,0
13,75,3745.5,3745.5,0
13,76,3745.5,3745.5,0
13,77,3745.5,3745.5,0
13,78,3745.5,3745.5,0
13,79,3745.5,3745.5,0
13,80,3745.5,3745.5,0
13,81,3745.5,3745.5,0
13,82,3745.5,3745.5,0
13,83,3745.5,3745.5,0
13,84,3745.5,3745.5,0
13,85,3745.5,3745.5,0
13,86,3745.5,3745.5,0
13,87,3745.5,3745.5,0
13,88,3745.5,3745.5,0
13,89,3745.5,3745.5,0
13,90,3745.5,3745.5,0
13,91,3545,3545,0
13,92,3355.3,3355.3,0
13,93,3175.7,3175.7,0
13,94,3005.8,3005.8,0
13,95,2844.9,2844.9,0
13,96,2692.7,2692.7,0
13,97,2548.6,2548.6,0
13,98,2412.2,2412.2,0
13,99,2283.1,2283.1,0
13,100,2160.9,2160.9,0
13,101,2045.3,2045.3,0
13,102,1935.8,1935.8,0
13,103,1832.2,1832.2,0
13,104,1734.2,1734.2,0
13,105,1641.4,1641.4,0
13,106,1553.6,1553.6,0
13,107,1470.4,1470.4,0
13,108,1391.7,1391.7,0
13,109,1317.2,1317.2,0
13,110,1246.8,1246.8,0
13,111,1180,1180,0
13,112,1116.9,1116.9,0
13,113,1057.1,1057.1,0
13,114,1000.5,1000.5,0
13,115,947,947,0
13,116,896.32,896.32,0
13,117,848.35,848.35,0
13,118,802.95,802.95,0
13,119,759.98,759.98,0
13,120,719.31,719.31,0
13,121,680.82,680.82,0
13,122,644.39,644.39,0
13,123,609.9,609.9,0
13,124,577.26,577.26,0
13,125,546.37,546.37,0
13,126,517.13,517.13,0
13,127,489.46,489.46,0
13,128,463.26,463.26,0
13,129,438.47,438.47,0
13,130,415.01,415.01,0
14,0,9090.9,9090.9,0
14,0,9090.9,9090.9,0
14,1,9090.9,9090.9,0
14,2,9090.9,9090.9,0
14,3,9090.9,9090.9,0
14,4,9090.9,9090.9,0
14,5,9090.9,9090.9,0
14,6,9090.9,9090.9,0
14,7,9090.9,9090.9,0
14,8,9090.9,9090.9,0
14,9,9090.9,9090.9,0
14,10,9090.9,9090.9,0
14,11,9090.9,9090.9,0
14,12,9090.9,9090.9,0
14,13,9090.9,9090.9,0
14,14,9090.9,9090.9,0
14,15,9090.9,9090.9,0
14,16,9090.9,9090.9,0
14,17,9090.9,9090.9,0
14,18,9090.9,9090.9,0
14,19,9090.9,9090.9,0
14,20,9090.9,9090.9,0
14,21,9090.9,9090.9,0
14,22,9090.9,9090.9,0
14,23,9090.9,9090.9,0
14,24,9090.9,9090.9,0
14,25,9090.9,9090.9,0
14,26,9090.9,9090.9,0
14,27,9090.9,9090.9,0
14,28,9090.9,9090.9,0
14,29,9090.9,9090.9,0
14,30,9090.9,9090.9,0
14,31,9090.9,9090.9,0
14,32,9090.9,9090.9,0
14,33,9090.9,9090.9,0
14,34,9090.9,9090.9,0
14,35,9090.9,9090.9,0
14,36,9090.9,9090.9,0
14,37,9090.9,9090.9,0
14,38,9090.9,9090.9,0
14,39,9090.9,9090.9,0
14,40,9090.9,9090.9,0
14,41,9090.9,9090.9,0
14,42,9090.9,9090.9,0
14,43,9090.9,9090.9,0
14,44,9090.9,9090.9,0
14,45,9090.9,9090.9,0
14,46,9090.9,9090.9,0
14,47,9090.9,9090.9,0
14,48,9090.9,9090.9,0
14,49,9090.9,9090.9,0
14,50,9090.9,9090.9,0
14,51,9090.9,9090.9,0
14,52,9090.9,9090.9,0
14,53,9090.9,9090.9,0
14,54,9090.9,9090.9,0
14,55,9090.9,9090.9,0
14,56,9090.9,9090.9,0
14,57,9090.9,9090.9,0
14,58,9090.9,9090.9,0
14,59,9090.9,9090.9,0
14,60,9090.9,9090.9,0
14,61,9090.9,9090.9,0
14,62,9090.9,9090.9,0
14,63,9090.9,9090.9,0
14,64,9090.9,9090.9,0
14,65,9090.9,9090.9,0
14,66,9090.9,9090.9,0
14,67,9090.9,9090.9,0
14,68,9090.9,9090.9,0
14,69,9090.9,9090.9,0
14,70,9090.9,9090.9,0
14,71,9090.9,9090.9,0
14,72,9090.9,9090.9,0
14,73,9090.9,9090.9,0
14,74,9090.9,9090.9,0
14,75,9090.9,9090.9,0
14,76,9090.9,9090.9,0
14,77,9090.9,9090.9,0
14,78,9090.9,9090.9,0
14,79,9090.9,9090.9,0
14,80,9090.9,9090.9,0
14,81,9090.9,9090.9,0
14,82,9090.9,9090.9,0
14,83,9090.9,9090.9,0
14,84,9090.9,9090.9,0
14,85,9090.9,9090.9,0
14,86,9090.9,9090.9,0
14,87,9090.9,9090.9,0
14,88,9090.9,9090.9,0
